municipality,province,inhabitants,inhabitants_density,area
Aa en Hunze,Drenthe,25445.0,92.0,"276,09"
Aalsmeer,Noord-Holland,31859.0,1584.0,"20,12"
Aalten,Gelderland,27121.0,281.0,"96,54"
Achtkarspelen,Friesland,27843.0,272.0,"102,23"
Alblasserdam,Zuid-Holland,20165.0,2297.0,"8,78"
Albrandswaard,Zuid-Holland,25590.0,1180.0,"21,69"
Alkmaar,Noord-Holland,109436.0,991.0,"110,46"
Almelo,Overijssel,73107.0,1087.0,"67,27"
Almere,Flevoland,211893.0,1640.0,"129,19"
Alphen aan den Rijn,Zuid-Holland,111897.0,886.0,"126,23"
Alphen-Chaam,Noord-Brabant,10203.0,110.0,"93,04"
Altena,Noord-Brabant,55967.0,279.0,"200,63"
Ameland,Friesland,3716.0,63.0,"59,11"
Amersfoort,Utrecht,157276.0,2512.0,"62,62"
Amstelveen,Noord-Holland,91675.0,2229.0,"41,13"
Amsterdam,Noord-Holland,872757.0,5273.0,"165,50"
Apeldoorn,Gelderland,163818.0,482.0,"339,89"
Arnhem,Gelderland,161348.0,1649.0,"97,82"
Assen,Drenthe,68599.0,838.0,"81,89"
Asten,Noord-Brabant,16721.0,238.0,"70,17"
Baarle-Nassau,Noord-Brabant,6859.0,90.0,"76,14"
Baarn,Utrecht,24868.0,764.0,"32,54"
Barendrecht,Zuid-Holland,48714.0,2467.0,"19,75"
Barneveld,Gelderland,59082.0,336.0,"175,90"
Beek,Limburg,15865.0,754.0,"21,03"
Beekdaelen,Limburg,35938.0,459.0,"78,30"
Beemster,Noord-Holland,10022.0,142.0,"70,58"
Beesel,Limburg,13482.0,482.0,"27,99"
Berg en Dal,Gelderland,34992.0,405.0,"86,31"
Bergeijk,Noord-Brabant,18635.0,184.0,"101,00"
Bergen,Limburg,13085.0,127.0,"103,24"
Bergen,Noord-Holland,29839.0,302.0,"98,96"
Bergen op Zoom,Noord-Brabant,67496.0,844.0,"79,96"
Berkelland,Gelderland,43747.0,170.0,"258,06"
Bernheze,Noord-Brabant,31240.0,348.0,"89,73"
Best,Noord-Brabant,29988.0,874.0,"34,30"
Beuningen,Gelderland,25890.0,593.0,"43,65"
Beverwijk,Noord-Holland,41626.0,2262.0,"18,40"
Bladel,Noord-Brabant,20390.0,271.0,"75,33"
Blaricum,Noord-Holland,11540.0,1038.0,"11,11"
Bloemendaal,Noord-Holland,23571.0,592.0,"39,79"
Bodegraven-Reeuwijk,Zuid-Holland,34872.0,463.0,"75,38"
Boekel,Noord-Brabant,10785.0,313.0,"34,51"
Bonaire,,,,
Borger-Odoorn,Drenthe,25559.0,93.0,"274,53"
Borne,Overijssel,23312.0,897.0,"26,00"
Borsele,Zeeland,22739.0,161.0,"141,57"
Boxmeer,Noord-Brabant,29365.0,263.0,"111,44"
Boxtel,Noord-Brabant,30801.0,483.0,"63,73"
Breda,Noord-Brabant,184069.0,1464.0,"125,74"
Brielle,Zuid-Holland,17271.0,627.0,"27,55"
Bronckhorst,Gelderland,36055.0,127.0,"283,50"
Brummen,Gelderland,20726.0,248.0,"83,65"
Brunssum,Limburg,27821.0,1613.0,"17,25"
Bunnik,Utrecht,15191.0,411.0,"36,97"
Bunschoten,Utrecht,21866.0,720.0,"30,38"
Buren,Gelderland,26749.0,200.0,"133,89"
Capelle aan den IJssel,Zuid-Holland,67122.0,4747.0,"14,14"
Castricum,Noord-Holland,35986.0,724.0,"49,68"
Coevorden,Drenthe,35297.0,119.0,"296,07"
Cranendonck,Noord-Brabant,21138.0,277.0,"76,40"
Cuijk,Noord-Brabant,25130.0,491.0,"51,16"
Culemborg,Gelderland,28955.0,989.0,"29,29"
Dalfsen,Overijssel,28587.0,173.0,"165,07"
Dantumadeel,Friesland,18922.0,224.0,"84,66"
De Bilt,Utrecht,43137.0,652.0,"66,12"
De Friese Meren,Friesland,51564.0,147.0,"351,29"
De Ronde Venen,Utrecht,44456.0,445.0,"99,92"
De Wolden,Drenthe,24330.0,108.0,"224,55"
Delft,Zuid-Holland,103595.0,4573.0,"22,65"
Den Helder,Noord-Holland,56296.0,1244.0,"45,25"
Deurne,Noord-Brabant,32471.0,278.0,"116,93"
Deventer,Overijssel,100719.0,771.0,"130,68"
Diemen,Noord-Holland,30780.0,2566.0,"11,99"
Dinkelland,Overijssel,26461.0,151.0,"175,71"
Doesburg,Gelderland,11077.0,961.0,"11,53"
Doetinchem,Gelderland,58001.0,734.0,"79,05"
Dongen,Noord-Brabant,26222.0,897.0,"29,24"
Dordrecht,Zuid-Holland,119284.0,1519.0,"78,54"
Drechterland,Noord-Holland,19719.0,335.0,"58,89"
Drimmelen,Noord-Brabant,27272.0,287.0,"95,18"
Dronten,Flevoland,41555.0,125.0,"333,57"
Druten,Gelderland,18926.0,503.0,"37,64"
Duiven,Gelderland,25126.0,741.0,"33,90"
Echt-Susteren,Limburg,31610.0,307.0,"103,07"
Edam-Volendam,Noord-Holland,36197.0,666.0,"54,33"
Ede,Gelderland,117165.0,368.0,"318,18"
Eemnes,Utrecht,9247.0,298.0,"31,04"
Eemsdelta,Groningen,45857.0,171.0,"267,89"
Eersel,Noord-Brabant,19313.0,234.0,"82,46"
Eijsden-Margraten,Limburg,25768.0,332.0,"77,55"
Eindhoven,Noord-Brabant,234394.0,2674.0,"87,66"
Elburg,Gelderland,23161.0,363.0,"63,82"
Emmen,Drenthe,107048.0,319.0,"335,18"
Enkhuizen,Noord-Holland,18591.0,1466.0,"12,68"
Enschede,Overijssel,159640.0,1134.0,"140,83"
Epe,Gelderland,33178.0,213.0,"156,07"
Ermelo,Gelderland,27008.0,315.0,"85,63"
Etten-Leur,Noord-Brabant,43878.0,793.0,"55,30"
Geertruidenberg,Noord-Brabant,21544.0,809.0,"26,63"
Geldrop-Mierlo,Noord-Brabant,39726.0,1281.0,"31,01"
Gemert-Bakel,Noord-Brabant,30723.0,252.0,"122,14"
Gennep,Limburg,16921.0,355.0,"47,62"
Gilze en Rijen,Noord-Brabant,26431.0,404.0,"65,38"
Goeree-Overflakkee,Zuid-Holland,50049.0,192.0,"260,48"
Goes,Zeeland,38082.0,411.0,"92,58"
Goirle,Noord-Brabant,23904.0,556.0,"42,99"
Gooise Meren,Noord-Holland,58055.0,1396.0,"41,59"
Gorinchem,Zuid-Holland,37022.0,1966.0,"18,83"
Gouda,Zuid-Holland,73427.0,4449.0,"16,50"
Grave,Noord-Brabant,12436.0,457.0,"27,18"
Groningen,Groningen,232874.0,1255.0,"185,60"
Gulpen-Wittem,Limburg,14171.0,194.0,"73,18"
Haaksbergen,Overijssel,24311.0,232.0,"104,82"
Haarlem,Noord-Holland,162902.0,5585.0,"29,17"
Haarlemmermeer,Noord-Holland,156002.0,790.0,"197,48"
Halderberge,Noord-Brabant,30284.0,407.0,"74,47"
Hardenberg,Overijssel,60948.0,195.0,"312,28"
Harderwijk,Gelderland,48414.0,1245.0,"38,89"
Hardinxveld-Giessendam,Zuid-Holland,18295.0,1082.0,"16,91"
Harlingen,Friesland,15722.0,630.0,"24,96"
Hattem,Gelderland,12209.0,529.0,"23,08"
Heemskerk,Noord-Holland,39182.0,1433.0,"27,34"
Heemstede,Noord-Holland,27234.0,2968.0,"9,18"
Heerde,Gelderland,18589.0,236.0,"78,74"
Heerenveen,Friesland,50493.0,266.0,"190,09"
Heerhugowaard,Noord-Holland,57587.0,1507.0,"38,21"
Heerlen,Limburg,87086.0,1938.0,"44,94"
Heeze-Leende,Noord-Brabant,16152.0,155.0,"104,02"
Heiloo,Noord-Holland,23968.0,1282.0,"18,70"
Hellendoorn,Overijssel,35916.0,260.0,"137,91"
Hellevoetsluis,Zuid-Holland,40142.0,977.0,"41,10"
Helmond,Noord-Brabant,92423.0,1738.0,"53,18"
Hendrik-Ido-Ambacht,Zuid-Holland,31202.0,2940.0,"10,61"
Hengelo,Overijssel,81140.0,1334.0,"60,84"
's-Hertogenbosch,Noord-Brabant,155111.0,1410.0,"109,99"
Het Hogeland,Groningen,47801.0,99.0,"482,75"
Heumen,Gelderland,16454.0,414.0,"39,76"
Heusden,Noord-Brabant,44692.0,567.0,"78,88"
Hillegom,Zuid-Holland,22209.0,1725.0,"12,87"
Hilvarenbeek,Noord-Brabant,15518.0,164.0,"94,85"
Hilversum,Noord-Holland,90831.0,1991.0,"45,61"
Hoeksche Waard,Zuid-Holland,87401.0,325.0,"268,93"
Hof van Twente,Overijssel,35017.0,165.0,"212,56"
Hollands Kroon,Noord-Holland,48432.0,136.0,"357,34"
Hoogeveen,Drenthe,55699.0,437.0,"127,54"
Hoorn,Noord-Holland,73261.0,3595.0,"20,38"
Horst aan de Maas,Limburg,42429.0,225.0,"188,73"
Houten,Utrecht,50146.0,913.0,"54,94"
Huizen,Noord-Holland,41273.0,2611.0,"15,81"
Hulst,Zeeland,27556.0,137.0,"201,71"
