,Gemeente,CBS-code[1],Provincie,Inwoneraantal[2],Inwoners per km²land-oppervlakte [2],Land-oppervlakte(km²)[2],Kaart,Gemiddeld huishoudinkomen (×€1000)(excl. studenten)(CBS/2017)
0,Aa en Hunze,1680.0,Drenthe,25445.0,92.0,"276,09",,"30,7"
18,Assen,106.0,Drenthe,68599.0,838.0,"81,89",,"27,2"
44,Borger-Odoorn,1681.0,Drenthe,25559.0,93.0,"274,53",,"27,9"
59,Coevorden,109.0,Drenthe,35297.0,119.0,"296,07",,"28,3"
68,De Wolden,1690.0,Drenthe,24330.0,108.0,"224,55",,"30,3"
93,Emmen,114.0,Drenthe,107048.0,319.0,"335,18",,"26,2"
145,Hoogeveen,118.0,Drenthe,55699.0,437.0,"127,54",,
187,Meppel,119.0,Drenthe,33920.0,611.0,"55,53",,
190,Midden-Drenthe,1731.0,Drenthe,33185.0,97.0,"340,51",,
207,Noordenveld,1699.0,Drenthe,31253.0,157.0,"199,41",,
288,Tynaarlo,1730.0,Drenthe,33887.0,237.0,"143,00",,
326,Westerveld,1701.0,Drenthe,19460.0,70.0,"278,35",,
