,Gemeente,CBS-code[1],Provincie,Inwoneraantal[2],Inwoners per km²land-oppervlakte [2],Land-oppervlakte(km²)[2],Kaart,Gemiddeld huishoudinkomen (×€1000)(excl. studenten)(CBS/2017)
3,Achtkarspelen,59.0,Friesland,27843.0,272.0,"102,23",,
12,Ameland,60.0,Friesland,3716.0,63.0,"59,11",,
64,Dantumadeel,1891.0,Friesland,18922.0,224.0,"84,66",,"26,1"
66,De Friese Meren,1940.0,Friesland,51564.0,147.0,"351,29",,"28,7"
120,Harlingen,72.0,Friesland,15722.0,630.0,"24,96",,"26,0"
125,Heerenveen,74.0,Friesland,50493.0,266.0,"190,09",,
167,Leeuwarden,80.0,Friesland,124084.0,521.0,"238,38",,
205,Noardeast-Fryslân,1970.0,Friesland,45228.0,120.0,"377,83",,
222,Ooststellingwerf,85.0,Friesland,25469.0,114.0,"223,42",,
225,Opsterland,86.0,Friesland,29733.0,132.0,"224,40",,
257,Schiermonnikoog,88.0,Friesland,947.0,23.0,"40,50",,
266,Smallingerland,90.0,Friesland,56150.0,479.0,"117,31",,
277,Súdwest-Fryslân,1900.0,Friesland,89987.0,172.0,"523,01",,
279,Terschelling,93.0,Friesland,4888.0,57.0,"85,26",,
289,Tietjerksteradeel,737.0,Friesland,32052.0,215.0,"148,86",,
308,Vlieland,96.0,Friesland,1155.0,30.0,"39,15",,
314,Waadhoeke,1949.0,Friesland,46090.0,162.0,"284,86",,
330,Weststellingwerf,98.0,Friesland,25914.0,118.0,"220,30",,
