,Gemeente,CBS-code[1],Provincie,Inwoneraantal[2],Inwoners per km²land-oppervlakte [2],Land-oppervlakte(km²)[2],Kaart,Gemiddeld huishoudinkomen (×€1000)(excl. studenten)(CBS/2017)
2,Aalten,197.0,Gelderland,27121.0,281.0,"96,54",,"27,8"
16,Apeldoorn,200.0,Gelderland,163818.0,482.0,"339,89",,"29,2"
17,Arnhem,202.0,Gelderland,161348.0,1649.0,"97,82",,"26,3"
23,Barneveld,203.0,Gelderland,59082.0,336.0,"175,90",,"30,5"
28,Berg en Dal,1945.0,Gelderland,34992.0,405.0,"86,31",,"29,1"
33,Berkelland,1859.0,Gelderland,43747.0,170.0,"258,06",,"28,5"
36,Beuningen,209.0,Gelderland,25890.0,593.0,"43,65",,"30,6"
51,Bronckhorst,1876.0,Gelderland,36055.0,127.0,"283,50",,"31,0"
52,Brummen,213.0,Gelderland,20726.0,248.0,"83,65",,"30,0"
56,Buren,214.0,Gelderland,26749.0,200.0,"133,89",,"31,9"
62,Culemborg,216.0,Gelderland,28955.0,989.0,"29,29",,"30,1"
75,Doesburg,221.0,Gelderland,11077.0,961.0,"11,53",,"26,8"
76,Doetinchem,222.0,Gelderland,58001.0,734.0,"79,05",,"28,0"
82,Druten,225.0,Gelderland,18926.0,503.0,"37,64",,"29,6"
83,Duiven,226.0,Gelderland,25126.0,741.0,"33,90",,"29,6"
86,Ede,228.0,Gelderland,117165.0,368.0,"318,18",,"30,0"
92,Elburg,230.0,Gelderland,23161.0,363.0,"63,82",,"28,3"
96,Epe,232.0,Gelderland,33178.0,213.0,"156,07",,"29,6"
97,Ermelo,233.0,Gelderland,27008.0,315.0,"85,63",,"31,1"
118,Harderwijk,243.0,Gelderland,48414.0,1245.0,"38,89",,"28,7"
121,Hattem,244.0,Gelderland,12209.0,529.0,"23,08",,"31,5"
124,Heerde,246.0,Gelderland,18589.0,236.0,"78,74",,
137,Heumen,252.0,Gelderland,16454.0,414.0,"39,76",,
174,Lingewaard,1705.0,Gelderland,46601.0,752.0,"62,00",,
176,Lochem,262.0,Gelderland,33729.0,158.0,"213,03",,
180,Maasdriel,263.0,Gelderland,25030.0,379.0,"66,11",,
195,Montferland,1955.0,Gelderland,36011.0,341.0,"105,70",,
198,Neder-Betuwe,1740.0,Gelderland,24339.0,406.0,"59,98",,
202,Nijkerk,267.0,Gelderland,43171.0,623.0,"69,34",,
203,Nijmegen,268.0,Gelderland,177659.0,3346.0,"53,09",,
211,Nunspeet,302.0,Gelderland,27851.0,216.0,"128,74",,
216,Oldebroek,269.0,Gelderland,23646.0,242.0,"97,65",,
220,Oost Gelre,1586.0,Gelderland,29627.0,270.0,"109,93",,
227,Oude IJsselstreek,1509.0,Gelderland,39388.0,289.0,"136,15",,
230,Overbetuwe,1734.0,Gelderland,47906.0,439.0,"109,19",,
236,Putten,273.0,Gelderland,24112.0,283.0,"85,22",,
239,Renkum,274.0,Gelderland,31419.0,684.0,"45,95",,
242,Rheden,275.0,Gelderland,43761.0,535.0,"81,74",,
251,Rozendaal,277.0,Gelderland,1704.0,61.0,"27,90",,
255,Scherpenzeel,279.0,Gelderland,9880.0,717.0,"13,79",,
284,Tiel,281.0,Gelderland,42159.0,1282.0,"32,88",,
312,Voorst,285.0,Gelderland,24552.0,200.0,"122,97",,
318,Wageningen,289.0,Gelderland,39664.0,1304.0,"30,42",,
323,West Betuwe,1960.0,Gelderland,51128.0,237.0,"216,12",,
324,West Maas en Waal,668.0,Gelderland,19324.0,252.0,"76,76",,
327,Westervoort,293.0,Gelderland,14971.0,2130.0,"7,03",,
333,Wijchen,296.0,Gelderland,41110.0,621.0,"66,18",,
336,Winterswijk,294.0,Gelderland,28854.0,209.0,"138,14",,
342,Zaltbommel,297.0,Gelderland,28881.0,364.0,"79,38",,
346,Zevenaar,299.0,Gelderland,43750.0,472.0,"92,60",,
351,Zutphen,301.0,Gelderland,47934.0,1170.0,"40,95",,
