,Gemeente,CBS-code[1],Provincie,Inwoneraantal[2],Inwoners per km²land-oppervlakte [2],Land-oppervlakte(km²)[2],Kaart,Gemiddeld huishoudinkomen (×€1000)(excl. studenten)(CBS/2017)
24,Beek,888.0,Limburg,15865.0,754.0,"21,03",,"29,9"
25,Beekdaelen,1954.0,Limburg,35938.0,459.0,"78,30",,
27,Beesel,889.0,Limburg,13482.0,482.0,"27,99",,"28,1"
30,Bergen,893.0,Limburg,13085.0,127.0,"103,24",,"28,1"
53,Brunssum,899.0,Limburg,27821.0,1613.0,"17,25",,"25,7"
84,Echt-Susteren,1711.0,Limburg,31610.0,307.0,"103,07",,"29,0"
90,Eijsden-Margraten,1903.0,Limburg,25768.0,332.0,"77,55",,"32,1"
102,Gennep,907.0,Limburg,16921.0,355.0,"47,62",,"28,6"
112,Gulpen-Wittem,1729.0,Limburg,14171.0,194.0,"73,18",,"29,3"
127,Heerlen,917.0,Limburg,87086.0,1938.0,"44,94",,
147,Horst aan de Maas,1507.0,Limburg,42429.0,225.0,"188,73",,
156,Kerkrade,928.0,Limburg,45749.0,2088.0,"21,91",,
162,Landgraaf,882.0,Limburg,37445.0,1523.0,"24,58",,
172,Leudal,1640.0,Limburg,35879.0,220.0,"162,73",,
181,Maasgouw,1641.0,Limburg,23965.0,524.0,"45,71",,
183,Maastricht,935.0,Limburg,121575.0,2172.0,"55,99",,
185,Meerssen,938.0,Limburg,18828.0,698.0,"26,96",,
197,Mook en Middelaar,944.0,Limburg,7847.0,451.0,"17,38",,
199,Nederweert,946.0,Limburg,17019.0,170.0,"99,98",,
232,Peel en Maas,1894.0,Limburg,43425.0,272.0,"159,37",,
247,Roerdalen,1669.0,Limburg,20574.0,233.0,"88,21",,
248,Roermond,957.0,Limburg,58260.0,958.0,"60,81",,
259,Simpelveld,965.0,Limburg,10555.0,658.0,"16,03",,
263,Sittard-Geleen,1883.0,Limburg,92429.0,1170.0,"79,01",,
275,Stein,971.0,Limburg,25007.0,1186.0,"21,08",,
296,Vaals,981.0,Limburg,10105.0,423.0,"23,89",,
297,Valkenburg aan de Geul,994.0,Limburg,16367.0,446.0,"36,73",,
304,Venlo,983.0,Limburg,101802.0,819.0,"124,25",,
305,Venray,984.0,Limburg,43614.0,267.0,"163,27",,
310,Voerendaal,986.0,Limburg,12475.0,396.0,"31,51",,
321,Weert,988.0,Limburg,50105.0,480.0,"104,32",,
