,Gemeente,CBS-code[1],Provincie,Inwoneraantal[2],Inwoners per km²land-oppervlakte [2],Land-oppervlakte(km²)[2],Kaart,Gemiddeld huishoudinkomen (×€1000)(excl. studenten)(CBS/2017)
7,Almelo,141.0,Overijssel,73107.0,1087.0,"67,27",,"25,7"
45,Borne,147.0,Overijssel,23312.0,897.0,"26,00",,"29,7"
63,Dalfsen,148.0,Overijssel,28587.0,173.0,"165,07",,"30,4"
72,Deventer,150.0,Overijssel,100719.0,771.0,"130,68",,"27,6"
74,Dinkelland,1774.0,Overijssel,26461.0,151.0,"175,71",,"30,8"
95,Enschede,153.0,Overijssel,159640.0,1134.0,"140,83",,"25,4"
113,Haaksbergen,158.0,Overijssel,24311.0,232.0,"104,82",,"29,2"
117,Hardenberg,160.0,Overijssel,60948.0,195.0,"312,28",,"27,9"
130,Hellendoorn,163.0,Overijssel,35916.0,260.0,"137,91",,
134,Hengelo,164.0,Overijssel,81140.0,1334.0,"60,84",,
143,Hof van Twente,1735.0,Overijssel,35017.0,165.0,"212,56",,
153,Kampen,166.0,Overijssel,54319.0,382.0,"142,18",,
179,Losser,168.0,Overijssel,22683.0,230.0,"98,76",,
217,Oldenzaal,173.0,Overijssel,31836.0,1477.0,"21,55",,
218,Olst-Wijhe,1773.0,Overijssel,18252.0,160.0,"113,84",,
219,Ommen,175.0,Overijssel,18009.0,100.0,"179,90",,
237,Raalte,177.0,Overijssel,37712.0,221.0,"170,99",,
245,Rijssen-Holten,1742.0,Overijssel,38177.0,406.0,"94,13",,
271,Staphorst,180.0,Overijssel,17145.0,128.0,"133,99",,
274,Steenwijkerland,1708.0,Overijssel,44126.0,153.0,"288,27",,
286,Tubbergen,183.0,Overijssel,21275.0,145.0,"147,00",,
287,Twenterand,1700.0,Overijssel,33743.0,318.0,"106,17",,
332,Wierden,189.0,Overijssel,24446.0,258.0,"94,63",,
352,Zwartewaterland,1896.0,Overijssel,22685.0,275.0,"82,49",,
354,Zwolle,193.0,Overijssel,128840.0,1160.0,"111,10",,
