Municipality,CBS code,Province,Inhabitants,Surface Area in sq km
Borsele,654.0,Zeeland,22739.0,141.57
Goes,664.0,Zeeland,38082.0,92.58
Hulst,677.0,Zeeland,27556.0,201.71
Kapelle,678.0,Zeeland,12695.0,37.13
Middelburg,687.0,Zeeland,48822.0,48.42
Noord-Beveland,1695.0,Zeeland,7392.0,85.96
Reimerswaal,703.0,Zeeland,22730.0,101.8
Schouwen-Duiveland,1676.0,Zeeland,33839.0,229.65
Sluis,1714.0,Zeeland,23210.0,279.36
Terneuzen,715.0,Zeeland,54426.0,250.38
Tholen,716.0,Zeeland,25757.0,146.71
Veere,717.0,Zeeland,21880.0,132.56
Vlissingen,718.0,Zeeland,44360.0,34.31
