,Gemeente,CBS-code[1],Provincie,Inwoneraantal[2],Inwoners per km²land-oppervlakte [2],Land-oppervlakte(km²)[2],Kaart,Gemiddeld huishoudinkomen (×€1000)(excl. studenten)(CBS/2017)
4,Alblasserdam,482.0,Zuid-Holland,20165.0,2297.0,"8,78",,"28,8"
5,Albrandswaard,613.0,Zuid-Holland,25590.0,1180.0,"21,69",,"34,4"
9,Alphen aan den Rijn,484.0,Zuid-Holland,111897.0,886.0,"126,23",,"30,9"
22,Barendrecht,489.0,Zuid-Holland,48714.0,2467.0,"19,75",,"33,5"
41,Bodegraven-Reeuwijk,1901.0,Zuid-Holland,34872.0,463.0,"75,38",,"34,1"
50,Brielle,501.0,Zuid-Holland,17271.0,627.0,"27,55",,"32,8"
57,Capelle aan den IJssel,502.0,Zuid-Holland,67122.0,4747.0,"14,14",,"28,6"
69,Delft,503.0,Zuid-Holland,103595.0,4573.0,"22,65",,"28,2"
78,Dordrecht,505.0,Zuid-Holland,119284.0,1519.0,"78,54",,"27,9"
104,Goeree-Overflakkee,1924.0,Zuid-Holland,50049.0,192.0,"260,48",,"30,3"
108,Gorinchem,512.0,Zuid-Holland,37022.0,1966.0,"18,83",,"28,8"
109,Gouda,513.0,Zuid-Holland,73427.0,4449.0,"16,50",,"28,9"
119,Hardinxveld-Giessendam,523.0,Zuid-Holland,18295.0,1082.0,"16,91",,"29,4"
131,Hellevoetsluis,530.0,Zuid-Holland,40142.0,977.0,"41,10",,
133,Hendrik-Ido-Ambacht,531.0,Zuid-Holland,31202.0,2940.0,"10,61",,
139,Hillegom,534.0,Zuid-Holland,22209.0,1725.0,"12,87",,
142,Hoeksche Waard,1963.0,Zuid-Holland,87401.0,325.0,"268,93",,
152,Kaag en Braassem,1884.0,Zuid-Holland,27297.0,432.0,"63,24",,
155,Katwijk,537.0,Zuid-Holland,65753.0,2657.0,"24,75",,
158,Krimpen aan den IJssel,542.0,Zuid-Holland,29526.0,3841.0,"7,69",,
159,Krimpenerwaard,1931.0,Zuid-Holland,56319.0,380.0,"148,40",,
165,Lansingerland,1621.0,Zuid-Holland,62384.0,1168.0,"53,42",,
168,Leiden,546.0,Zuid-Holland,125099.0,5710.0,"21,91",,
169,Leiderdorp,547.0,Zuid-Holland,27056.0,2337.0,"11,58",,
170,Leidschendam-Voorburg,1916.0,Zuid-Holland,76534.0,2351.0,"32,55",,
175,Lisse,553.0,Zuid-Holland,22955.0,1463.0,"15,69",,
182,Maassluis,556.0,Zuid-Holland,33213.0,3918.0,"8,48",,
189,Midden-Delfland,1842.0,Zuid-Holland,19341.0,410.0,"47,19",,
194,Molenlanden,1978.0,Zuid-Holland,43909.0,242.0,"181,73",,
201,Nieuwkoop,569.0,Zuid-Holland,28811.0,369.0,"78,05",,
204,Nissewaard,1930.0,Zuid-Holland,85219.0,1158.0,"73,58",,
209,Noordwijk,575.0,Zuid-Holland,43508.0,745.0,"58,37",,
212,Oegstgeest,579.0,Zuid-Holland,24840.0,3399.0,"7,31",,
231,Papendrecht,590.0,Zuid-Holland,32136.0,3414.0,"9,41",,
234,Pijnacker-Nootdorp,1926.0,Zuid-Holland,55308.0,1491.0,"37,08",,
244,Ridderkerk,597.0,Zuid-Holland,46189.0,1948.0,"23,72",,
246,Rijswijk,603.0,Zuid-Holland,54450.0,3901.0,"13,96",,
250,Rotterdam,599.0,Zuid-Holland,651157.0,2993.0,"217,55",,
256,Schiedam,606.0,Zuid-Holland,78730.0,4417.0,"17,82",,
264,Sliedrecht,610.0,Zuid-Holland,25220.0,1965.0,"12,84",,
281,Teylingen,1525.0,Zuid-Holland,37440.0,1319.0,"28,38",,
282,Den Haag ('s-Gravenhage),518.0,Zuid-Holland,545838.0,6620.0,"82,45",,
307,Vlaardingen,622.0,Zuid-Holland,73397.0,3114.0,"23,57",,
311,Voorschoten,626.0,Zuid-Holland,25596.0,2297.0,"11,14",,
317,Waddinxveen,627.0,Zuid-Holland,29291.0,1055.0,"27,77",,
319,Wassenaar,629.0,Zuid-Holland,26305.0,515.0,"51,11",,
329,Westland,1783.0,Zuid-Holland,110375.0,1358.0,"81,27",,
331,Westvoorne,614.0,Zuid-Holland,14731.0,277.0,"53,18",,
347,Zoetermeer,637.0,Zuid-Holland,125285.0,3637.0,"34,45",,
348,Zoeterwoude,638.0,Zuid-Holland,8605.0,406.0,"21,19",,
349,Zuidplas,1892.0,Zuid-Holland,43885.0,756.0,"58,02",,
353,Zwijndrecht,642.0,Zuid-Holland,44737.0,2204.0,"20,30",,
