Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
873,Destiny,X360,2014,Shooter,Activision,1.30,0.49,0.00,0.16,1.95
893,Watch Dogs,PS3,2014,Action,Ubisoft,0.56,0.89,0.10,0.37,1.93
969,Call of Duty: Black Ops 3,PS3,2015,Shooter,Activision,0.49,0.96,0.07,0.27,1.79
1001,Call of Duty: Black Ops 3,X360,2015,Shooter,Activision,1.11,0.48,0.00,0.16,1.76
1026,Destiny,PS3,2014,Shooter,Activision,0.67,0.66,0.12,0.27,1.73
1065,FIFA 16,X360,2015,Sports,Electronic Arts,0.55,1.01,0.00,0.13,1.69
1132,NBA 2K15,X360,2014,Sports,Take-Two Interactive,1.33,0.14,0.00,0.15,1.63
1339,Far Cry 4,PS3,2014,Shooter,Ubisoft,0.33,0.79,0.08,0.23,1.44
1373,Madden NFL 15,PS3,2014,Sports,Electronic Arts,1.07,0.15,0.00,0.19,1.41
1405,Titanfall,X360,2014,Shooter,Electronic Arts,0.87,0.38,0.02,0.11,1.38
1415,Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.62,0.06,0.23,1.37
1424,NBA 2K15,PS3,2014,Sports,Take-Two Interactive,0.86,0.27,0.02,0.22,1.36
1490,The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.52,0.00,0.11,1.32
1487,Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.40,0.36,0.40,0.17,1.32
1489,Kingdom Hearts II,PS3,2014,Role-Playing,Square Enix,0.52,0.43,0.18,0.19,1.32
1541,Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.45,0.01,0.11,1.28
1619,Farming Simulator 2015,PC,2014,Simulation,Focus Home Interactive,0.08,1.02,0.00,0.13,1.23
1632,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.50,0.63,0.00,0.10,1.23
1762,Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.51,0.54,0.00,0.10,1.16
1826,Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,Disney Interactive Studios,0.62,0.40,0.00,0.10,1.12
1898,Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.36,0.64,0.00,0.08,1.08
1966,Assassin's Creed: Rogue,X360,2014,Action,Ubisoft,0.58,0.38,0.00,0.09,1.05
2040,Disney Infinity 2.0: Marvel Super Heroes,PS3,2014,Action,Disney Interactive Studios,0.44,0.40,0.00,0.17,1.02
2053,The LEGO Movie Videogame,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.48,0.02,0.18,1.01
2118,South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.42,0.38,0.00,0.17,0.98
2121,Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.44,0.00,0.08,0.98
2125,Madden NFL 16,X360,2015,Sports,Electronic Arts,0.82,0.05,0.00,0.10,0.98
