Track;Album
Don't Stop 'Til You Get Enough;Off the Wall
Rock with You;Off the Wall
Working Day and Night;Off the Wall
Wanna be Startin Somethin;Thriller
Baby Be Mine;Thriller
The Girl is Mine;Thriller
Bad;Bad
The Way You Make Me Feel;Bad
Speed Demon;Bad
Under My Thumb;Acid Queen
Acid Queen;Acid Queen
Whole Lotta Love;Acid Queen
Fruits of the Night;Rough
The Bitch is Back;Rough
Viva La Money;Rough
I Might Have Been Queen;Private Dancer
What's Love Got to Do with It;Private Dancer
Show Some Respect;Private Dancer
For You;For You
In Love;For You
Soft and Wet;For You
I Wanna Be Your Lover;Prince
Why You Wanna Treat Me So Bad?;Prince
Sexy Dancer;Prince
Dirty Mind;Dirty Mind
When You Were Mine;Dirty Mind
Do It All Night;Dirty Mind
Honeymoon Avenue;Yours Truly
Baby I;Yours Truly
Right There;Yours Truly
Problem;My Everything
One Last Time;My Everything
Why Try;My Everything
Moonlight;Dangerous Woman
Dangerous Woman;Dangerous Woman
Be Alright;Dangerous Woman
