Year,Sex,Age group (years) at date of injury,Geographic region where injury occurred,Employment status,Occupation,Injury/illness/disease group,Type of injury/illness/disease,Industry,Industry subgroup,Value,Measure,Status
2002,Total,Total,Total,Total,Total,Total,Total,Total,Total,154,Incidence rate per 1000 full-time equivalent employees,Final
2002,Total,Total,Northland,Total,Total,Total,Total,Total,Total,195,Incidence rate per 1000 full-time equivalent employees,Final
2002,Total,Total,Auckland,Total,Total,Total,Total,Total,Total,119,Incidence rate per 1000 full-time equivalent employees,Final
2002,Total,Total,Waikato,Total,Total,Total,Total,Total,Total,163,Incidence rate per 1000 full-time equivalent employees,Final
2002,Total,Total,Bay of Plenty,Total,Total,Total,Total,Total,Total,180,Incidence rate per 1000 full-time equivalent employees,Final
2002,Total,Total,Gisborne Hawke's Bay,Total,Total,Total,Total,Total,Total,198,Incidence rate per 1000 full-time equivalent employees,Final
2002,Total,Total,Taranaki,Total,Total,Total,Total,Total,Total,179,Incidence rate per 1000 full-time equivalent employees,Final
2002,Total,Total,Manawatu Wanganui,Total,Total,Total,Total,Total,Total,174,Incidence rate per 1000 full-time equivalent employees,Final
2002,Total,Total,Wellington,Total,Total,Total,Total,Total,Total,97,Incidence rate per 1000 full-time equivalent employees,Final
2002,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total,Total,Total,Total,Total,187,Incidence rate per 1000 full-time equivalent employees,Final
2002,Total,Total,Canterbury,Total,Total,Total,Total,Total,Total,168,Incidence rate per 1000 full-time equivalent employees,Final
2002,Total,Total,Otago Southland,Total,Total,Total,Total,Total,Total,200,Incidence rate per 1000 full-time equivalent employees,Final
