,Location,Period,Indicator,First Tooltip
0,Afghanistan,2016,"Dentists (per 10,000)",
1,Afghanistan,2015,"Dentists (per 10,000)",0.036
2,Afghanistan,2014,"Dentists (per 10,000)",0.033
3,Afghanistan,2008,"Dentists (per 10,000)",0.14
4,Afghanistan,2007,"Dentists (per 10,000)",0.12
5,Afghanistan,2006,"Dentists (per 10,000)",0.13
6,Albania,2006,"Dentists (per 10,000)",3.38
7,Albania,2003,"Dentists (per 10,000)",4.33
8,Albania,2002,"Dentists (per 10,000)",4.29
9,Albania,2001,"Dentists (per 10,000)",4.87
10,Albania,2000,"Dentists (per 10,000)",4.66
11,Albania,1999,"Dentists (per 10,000)",4.56
12,Albania,1998,"Dentists (per 10,000)",
13,Albania,1997,"Dentists (per 10,000)",4.39
14,Albania,1996,"Dentists (per 10,000)",3.33
15,Albania,1995,"Dentists (per 10,000)",3.68
16,Albania,1994,"Dentists (per 10,000)",4.1
17,Albania,1993,"Dentists (per 10,000)",3.87
18,Albania,1992,"Dentists (per 10,000)",3.67
19,Albania,1991,"Dentists (per 10,000)",3.52
20,Albania,1990,"Dentists (per 10,000)",3.39
21,Algeria,2018,"Dentists (per 10,000)",3.66
22,Algeria,2007,"Dentists (per 10,000)",3.11
23,Algeria,2005,"Dentists (per 10,000)",2.72
24,Algeria,2002,"Dentists (per 10,000)",2.78
25,Andorra,2015,"Dentists (per 10,000)",
26,Andorra,2009,"Dentists (per 10,000)",6.04
27,Andorra,2007,"Dentists (per 10,000)",5.68
28,Andorra,2006,"Dentists (per 10,000)",5.68
29,Andorra,2005,"Dentists (per 10,000)",5.83
30,Andorra,2004,"Dentists (per 10,000)",5.9
31,Andorra,2003,"Dentists (per 10,000)",6.01
32,Andorra,2002,"Dentists (per 10,000)",6.0
33,Andorra,2001,"Dentists (per 10,000)",6.24
34,Andorra,2000,"Dentists (per 10,000)",6.58
35,Andorra,1999,"Dentists (per 10,000)",4.81
36,Andorra,1998,"Dentists (per 10,000)",5.3
37,Andorra,1997,"Dentists (per 10,000)",
38,Andorra,1995,"Dentists (per 10,000)",4.85
39,Angola,2004,"Dentists (per 10,000)",0.12
40,Angola,1997,"Dentists (per 10,000)",0.001
41,Antigua and Barbuda,2014,"Dentists (per 10,000)",0.43
42,Antigua and Barbuda,1997,"Dentists (per 10,000)",1.81
43,Argentina,2004,"Dentists (per 10,000)",9.25
44,Argentina,2001,"Dentists (per 10,000)",
45,Argentina,1998,"Dentists (per 10,000)",8.01
46,Argentina,1992,"Dentists (per 10,000)",6.53
47,Armenia,2017,"Dentists (per 10,000)",
48,Armenia,2015,"Dentists (per 10,000)",3.69
49,Armenia,2014,"Dentists (per 10,000)",3.91
50,Armenia,2013,"Dentists (per 10,000)",4.19
51,Armenia,2012,"Dentists (per 10,000)",4.47
52,Armenia,2011,"Dentists (per 10,000)",4.51
53,Armenia,2010,"Dentists (per 10,000)",4.37
